,reference_period_desc,source_desc,location_desc,sector_desc,year,inventory_value,short_desc,statisticcat_desc
16596,JAN THRU MAR,SURVEY,ALABAMA,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16597,APR THRU JUN,SURVEY,ALABAMA,ANIMALS & PRODUCTS,2020,"8,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16617,JAN THRU MAR,SURVEY,ARIZONA,ANIMALS & PRODUCTS,2020,"32,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16618,APR THRU JUN,SURVEY,ARIZONA,ANIMALS & PRODUCTS,2020,"26,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16638,JAN THRU MAR,SURVEY,ARKANSAS,ANIMALS & PRODUCTS,2020,"17,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16639,APR THRU JUN,SURVEY,ARKANSAS,ANIMALS & PRODUCTS,2020,"17,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16659,JAN THRU MAR,SURVEY,CALIFORNIA,ANIMALS & PRODUCTS,2020,"1,710,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16660,APR THRU JUN,SURVEY,CALIFORNIA,ANIMALS & PRODUCTS,2020,"1,200,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16680,JAN THRU MAR,SURVEY,COLORADO,ANIMALS & PRODUCTS,2020,"16,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16681,APR THRU JUN,SURVEY,COLORADO,ANIMALS & PRODUCTS,2020,"27,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16701,JAN THRU MAR,SURVEY,CONNECTICUT,ANIMALS & PRODUCTS,2020,"4,100","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16702,APR THRU JUN,SURVEY,CONNECTICUT,ANIMALS & PRODUCTS,2020,"4,300","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16722,JAN THRU MAR,SURVEY,FLORIDA,ANIMALS & PRODUCTS,2020,"310,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16723,APR THRU JUN,SURVEY,FLORIDA,ANIMALS & PRODUCTS,2020,"325,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16743,JAN THRU MAR,SURVEY,GEORGIA,ANIMALS & PRODUCTS,2020,"121,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16744,APR THRU JUN,SURVEY,GEORGIA,ANIMALS & PRODUCTS,2020,"143,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16764,JAN THRU MAR,SURVEY,HAWAII,ANIMALS & PRODUCTS,2020,"16,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16765,APR THRU JUN,SURVEY,HAWAII,ANIMALS & PRODUCTS,2020,"15,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16785,JAN THRU MAR,SURVEY,IDAHO,ANIMALS & PRODUCTS,2020,"168,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16786,APR THRU JUN,SURVEY,IDAHO,ANIMALS & PRODUCTS,2020,"81,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16806,JAN THRU MAR,SURVEY,ILLINOIS,ANIMALS & PRODUCTS,2020,"13,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16807,APR THRU JUN,SURVEY,ILLINOIS,ANIMALS & PRODUCTS,2020,"12,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16827,JAN THRU MAR,SURVEY,INDIANA,ANIMALS & PRODUCTS,2020,"11,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16828,APR THRU JUN,SURVEY,INDIANA,ANIMALS & PRODUCTS,2020,"12,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16848,JAN THRU MAR,SURVEY,IOWA,ANIMALS & PRODUCTS,2020,"21,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16849,APR THRU JUN,SURVEY,IOWA,ANIMALS & PRODUCTS,2020,"29,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16869,JAN THRU MAR,SURVEY,KANSAS,ANIMALS & PRODUCTS,2020,"7,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16870,APR THRU JUN,SURVEY,KANSAS,ANIMALS & PRODUCTS,2020,"8,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16890,JAN THRU MAR,SURVEY,KENTUCKY,ANIMALS & PRODUCTS,2020,"10,500","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16891,APR THRU JUN,SURVEY,KENTUCKY,ANIMALS & PRODUCTS,2020,"11,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16911,JAN THRU MAR,SURVEY,LOUISIANA,ANIMALS & PRODUCTS,2020,"48,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
16912,APR THRU JUN,SURVEY,LOUISIANA,ANIMALS & PRODUCTS,2020,"53,000","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX"
